Grouping,Area,Pop. size (N),Persons with LTBI (95%CI),Column %,LTBI % (95%CI)
With HIV coinfection but not SOT, OR ,NA,192 (186 to 199),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, OR ,NA,123 (119 to 127),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", OR ,NA,"1,001 (972 to 1,034)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), OR ,NA,"5,936 (5,760 to 6,128)",9%,
None of the below medical risk factors reported, OR ,NA,"60,949 (59,119 to 62,961)",89%,
1–14 years, OR ,"661,941","1,337 (1,222 to 1,455)",2%,0.2 (0.2 to 0.2)
15–24 years, OR ,"511,750","4,508 (4,304 to 4,734)",7%,0.9 (0.8 to 0.9)
25–44 years, OR ,"1,045,482","22,892 (22,278 to 23,542)",34%,2.2 (2.1 to 2.3)
45–64 years, OR ,"977,141","28,350 (27,571 to 29,174)",42%,2.9 (2.8 to 3.0)
65+ years, OR ,"717,446","11,130 (10,796 to 11,560)",16%,1.6 (1.5 to 1.6)
Non-Hispanic white, OR ,"2,963,456","27,964 (27,086 to 28,972)",41%,0.9 (0.9 to 1.0)
Non-Hispanic black, OR ,"73,510","4,755 (4,612 to 4,912)",7%,6.5 (6.3 to 6.7)
Hispanic, OR ,"476,550","13,081 (12,704 to 13,481)",19%,2.7 (2.7 to 2.8)
Asian or other race/ethnicity, OR ,"400,244","22,416 (21,769 to 23,100)",33%,5.6 (5.4 to 5.8)
Total estimated number of persons with LTBI, PA ,"12,501,093","203,884 (197,940 to 210,636)",100%,1.6 (1.6 to 1.7)
With solid organ transplant (SOT), PA ,NA,80 (78 to 82),0%,
With HIV coinfection but not SOT, PA ,NA,"983 (953 to 1,017)",0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, PA ,NA,795 (772 to 823),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", PA ,NA,"2,800 (2,716 to 2,902)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), PA ,NA,"14,777 (14,344 to 15,274)",7%,
None of the below medical risk factors reported, PA ,NA,"184,449 (179,078 to 190,538)",90%,
1–14 years, PA ,"2,080,004","2,100 (1,925 to 2,285)",1%,0.1 (0.1 to 0.1)
15–24 years, PA ,"1,735,132","11,118 (10,632 to 11,655)",5%,0.6 (0.6 to 0.7)
25–44 years, PA ,"3,078,665","66,092 (64,335 to 67,952)",32%,2.1 (2.1 to 2.2)
45–64 years, PA ,"3,455,256","81,867 (79,569 to 84,301)",40%,2.4 (2.3 to 2.4)
65+ years, PA ,"2,152,036","42,708 (41,479 to 44,443)",21%,2.0 (1.9 to 2.1)
Non-Hispanic white, PA ,"9,653,214","76,099 (73,839 to 78,742)",37%,0.8 (0.8 to 0.8)
Non-Hispanic black, PA ,"1,305,505","45,395 (44,012 to 47,073)",22%,3.5 (3.4 to 3.6)
Hispanic, PA ,"925,850","22,167 (21,538 to 22,852)",11%,2.4 (2.3 to 2.5)
Asian or other race/ethnicity, PA ,"616,524","60,223 (58,552 to 61,970)",30%,9.8 (9.5 to 10.1)
Total estimated number of persons with LTBI, RI ,"1,036,882","19,196 (18,636 to 19,811)",100%,1.9 (1.8 to 1.9)
With solid organ transplant (SOT), RI ,NA,0,0%,
With HIV coinfection but not SOT, RI ,NA,77 (75 to 80),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, RI ,NA,154 (149 to 159),1%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", RI ,NA,287 (278 to 297),1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), RI ,NA,"1,713 (1,661 to 1,771)",9%,
None of the below medical risk factors reported, RI ,NA,"16,965 (16,473 to 17,504)",88%,
1–14 years, RI ,"155,263",500 (461 to 545),3%,0.3 (0.3 to 0.4)
15–24 years, RI ,"157,640","1,282 (1,235 to 1,333)",7%,0.8 (0.8 to 0.8)
25–44 years, RI ,"260,215","7,317 (7,132 to 7,512)",38%,2.8 (2.7 to 2.9)
45–64 years, RI ,"310,899","6,382 (6,207 to 6,566)",33%,2.1 (2.0 to 2.1)
65+ years, RI ,"152,865","3,715 (3,601 to 3,855)",19%,2.4 (2.4 to 2.5)
Non-Hispanic white, RI ,"799,106","6,353 (6,168 to 6,571)",33%,0.8 (0.8 to 0.8)
Non-Hispanic black, RI ,"58,840","2,359 (2,289 to 2,436)",12%,4.0 (3.9 to 4.1)
Hispanic, RI ,"123,726","6,299 (6,117 to 6,492)",33%,5.1 (4.9 to 5.2)
Asian or other race/ethnicity, RI ,"55,210","4,185 (4,062 to 4,313)",22%,7.6 (7.4 to 7.8)
Total estimated number of persons with LTBI, SC ,"4,711,246","102,360 (99,197 to 106,169)",100%,2.2 (2.1 to 2.3)
With solid organ transplant (SOT), SC ,NA,8 (8 to 8),0%,
With HIV coinfection but not SOT, SC ,NA,423 (410 to 438),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, SC ,NA,371 (360 to 385),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", SC ,NA,"1,031 (999 to 1,072)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), SC ,NA,"7,961 (7,709 to 8,266)",8%,
None of the below medical risk factors reported, SC ,NA,"92,567 (89,712 to 96,000)",90%,
1–14 years, SC ,"875,302","2,167 (2,023 to 2,363)",2%,0.2 (0.2 to 0.3)
15–24 years, SC ,"561,287","4,130 (3,936 to 4,345)",4%,0.7 (0.7 to 0.8)
25–44 years, SC ,"1,254,648","25,233 (24,445 to 26,078)",25%,2.0 (1.9 to 2.1)
45–64 years, SC ,"1,275,105","43,236 (41,952 to 44,602)",42%,3.4 (3.3 to 3.5)
65+ years, SC ,"744,904","27,594 (26,840 to 28,781)",27%,3.7 (3.6 to 3.9)
Non-Hispanic white, SC ,"3,030,765","27,775 (26,900 to 28,844)",27%,0.9 (0.9 to 1.0)
Non-Hispanic black, SC ,"1,277,240","54,068 (52,344 to 56,212)",53%,4.2 (4.1 to 4.4)
Hispanic, SC ,"264,718","11,680 (11,358 to 12,021)",11%,4.4 (4.3 to 4.5)
Asian or other race/ethnicity, SC ,"138,524","8,837 (8,595 to 9,092)",9%,6.4 (6.2 to 6.6)
Total estimated number of persons with LTBI, SD ,"833,422","11,939 (11,581 to 12,344)",100%,1.4 (1.4 to 1.5)
With solid organ transplant (SOT), SD ,NA,0,0%,
With HIV coinfection but not SOT, SD ,NA,54 (52 to 56),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, SD ,NA,104 (99 to 109),1%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", SD ,NA,219 (212 to 226),2%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), SD ,NA,"1,087 (1,049 to 1,132)",9%,
None of the below medical risk factors reported, SD ,NA,"10,476 (10,168 to 10,822)",88%,
1–14 years, SD ,"163,581",67 (63 to 73),1%,0.0 (0.0 to 0.0)
15–24 years, SD ,"112,905","986 (935 to 1,043)",8%,0.9 (0.8 to 0.9)
25–44 years, SD ,"213,610","4,000 (3,899 to 4,107)",34%,1.9 (1.8 to 1.9)
45–64 years, SD ,"209,305","5,186 (5,032 to 5,349)",43%,2.5 (2.4 to 2.6)
65+ years, SD ,"134,021","1,701 (1,653 to 1,772)",14%,1.3 (1.2 to 1.3)
Non-Hispanic white, SD ,"704,863","2,057 (1,997 to 2,127)",17%,0.3 (0.3 to 0.3)
Non-Hispanic black, SD ,"15,395","1,960 (1,909 to 2,014)",16%,12.7 (12.4 to 13.1)
Hispanic, SD ,"17,922","1,067 (1,038 to 1,098)",9%,6.0 (5.8 to 6.1)
Asian or other race/ethnicity, SD ,"95,241","6,855 (6,637 to 7,105)",57%,7.2 (7.0 to 7.5)
Total estimated number of persons with LTBI, TN ,"6,413,302","122,627 (118,973 to 126,979)",100%,1.9 (1.9 to 2.0)
With solid organ transplant (SOT), TN ,NA,61 (59 to 63),0%,
With HIV coinfection but not SOT, TN ,NA,625 (606 to 648),1%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, TN ,NA,301 (292 to 313),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", TN ,NA,"3,059 (2,965 to 3,174)",2%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), TN ,NA,"10,862 (10,534 to 11,255)",9%,
None of the below medical risk factors reported, TN ,NA,"107,720 (104,517 to 111,526)",88%,
1–14 years, TN ,"1,154,382","1,325 (1,219 to 1,443)",1%,0.1 (0.1 to 0.1)
15–24 years, TN ,"842,163","6,962 (6,636 to 7,325)",6%,0.8 (0.8 to 0.9)
25–44 years, TN ,"1,709,743","37,500 (36,449 to 38,618)",31%,2.2 (2.1 to 2.3)
45–64 years, TN ,"1,679,585","43,583 (42,327 to 44,916)",36%,2.6 (2.5 to 2.7)
65+ years, TN ,"1,027,429","33,257 (32,342 to 34,677)",27%,3.2 (3.1 to 3.4)
Non-Hispanic white, TN ,"4,744,326","54,026 (52,380 to 56,070)",44%,1.1 (1.1 to 1.2)
Non-Hispanic black, TN ,"1,086,095","32,886 (31,866 to 34,154)",27%,3.0 (2.9 to 3.1)
Hispanic, TN ,"381,468","20,543 (19,973 to 21,142)",17%,5.4 (5.2 to 5.5)
Asian or other race/ethnicity, TN ,"201,414","15,172 (14,754 to 15,613)",12%,7.5 (7.3 to 7.8)
Total estimated number of persons with LTBI, TX ,"26,312,984","1,081,749 (1,048,925 to 1,118,032)",100%,4.1 (4.0 to 4.2)
With solid organ transplant (SOT), TX ,NA,181 (175 to 187),0%,
With HIV coinfection but not SOT, TX ,NA,"4,235 (4,103 to 4,384)",0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, TX ,NA,"1,784 (1,729 to 1,846)",0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", TX ,NA,"3,838 (3,716 to 3,977)",0%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), TX ,NA,"116,020 (112,537 to 119,847)",11%,
None of the below medical risk factors reported, TX ,NA,"955,691 (926,664 to 987,792)",88%,
1–14 years, TX ,"5,574,109","16,378 (15,097 to 17,835)",2%,0.3 (0.3 to 0.3)
15–24 years, TX ,"3,872,510","78,724 (74,896 to 83,013)",7%,2.0 (1.9 to 2.1)
25–44 years, TX ,"7,387,921","388,667 (377,904 to 400,098)",36%,5.3 (5.1 to 5.4)
45–64 years, TX ,"6,315,600","459,995 (447,110 to 473,649)",43%,7.3 (7.1 to 7.5)
65+ years, TX ,"3,162,844","137,986 (133,918 to 143,437)",13%,4.4 (4.2 to 4.5)
Non-Hispanic white, TX ,"11,598,725","205,844 (199,129 to 213,562)",19%,1.8 (1.7 to 1.8)
Non-Hispanic black, TX ,"3,142,693","183,295 (177,145 to 190,470)",17%,5.8 (5.6 to 6.1)
Hispanic, TX ,"9,993,580","537,482 (521,881 to 554,273)",50%,5.4 (5.2 to 5.5)
Asian or other race/ethnicity, TX ,"1,577,985","155,129 (150,769 to 159,727)",14%,9.8 (9.6 to 10.1)
Total estimated number of persons with LTBI, UT ,"2,886,635","28,507 (27,630 to 29,448)",100%,1.0 (1.0 to 1.0)
With solid organ transplant (SOT), UT ,NA,9 (9 to 9),0%,
With HIV coinfection but not SOT, UT ,NA,110 (106 to 113),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, UT ,NA,67 (65 to 69),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", UT ,NA,346 (336 to 356),1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), UT ,NA,"3,051 (2,957 to 3,149)",11%,
None of the below medical risk factors reported, UT ,NA,"24,925 (24,158 to 25,751)",87%,
1–14 years, UT ,"727,778","1,624 (1,489 to 1,767)",6%,0.2 (0.2 to 0.2)
15–24 years, UT ,"423,188","1,620 (1,549 to 1,699)",6%,0.4 (0.4 to 0.4)
25–44 years, UT ,"863,561","12,067 (11,766 to 12,384)",42%,1.4 (1.4 to 1.4)
45–64 years, UT ,"555,025","10,554 (10,266 to 10,858)",37%,1.9 (1.8 to 2.0)
65+ years, UT ,"317,083","2,642 (2,560 to 2,740)",9%,0.8 (0.8 to 0.9)
Non-Hispanic white, UT ,"2,342,591","8,929 (8,651 to 9,240)",31%,0.4 (0.4 to 0.4)
Non-Hispanic black, UT ,"36,563","1,283 (1,245 to 1,322)",5%,3.5 (3.4 to 3.6)
Hispanic, UT ,"354,915","11,940 (11,578 to 12,318)",42%,3.4 (3.3 to 3.5)
Asian or other race/ethnicity, UT ,"152,567","6,355 (6,157 to 6,568)",22%,4.2 (4.0 to 4.3)
Total estimated number of persons with LTBI, VA ,"8,158,576","205,027 (198,979 to 211,683)",100%,2.5 (2.4 to 2.6)
With solid organ transplant (SOT), VA ,NA,74 (72 to 77),0%,
With HIV coinfection but not SOT, VA ,NA,562 (546 to 581),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, VA ,NA,677 (657 to 700),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", VA ,NA,"1,289 (1,250 to 1,332)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), VA ,NA,"17,179 (16,680 to 17,719)",8%,
None of the below medical risk factors reported, VA ,NA,"185,247 (179,774 to 191,273)",90%,
1–14 years, VA ,"1,460,023","6,470 (5,931 to 7,042)",3%,0.4 (0.4 to 0.5)
15–24 years, VA ,"1,130,886","10,654 (10,204 to 11,148)",5%,0.9 (0.9 to 1.0)
25–44 years, VA ,"2,228,059","85,392 (83,191 to 87,716)",42%,3.8 (3.7 to 3.9)
45–64 years, VA ,"2,230,112","71,448 (69,510 to 73,496)",35%,3.2 (3.1 to 3.3)
65+ years, VA ,"1,109,496","31,064 (30,142 to 32,281)",15%,2.8 (2.7 to 2.9)
Non-Hispanic white, VA ,"5,168,017","58,744 (56,973 to 60,760)",29%,1.1 (1.1 to 1.2)
Non-Hispanic black, VA ,"1,536,845","38,446 (37,255 to 39,856)",19%,2.5 (2.4 to 2.6)
Hispanic, VA ,"680,552","42,943 (41,720 to 44,220)",21%,6.3 (6.1 to 6.5)
Asian or other race/ethnicity, VA ,"773,161","64,895 (63,031 to 66,847)",32%,8.4 (8.2 to 8.6)
Total estimated number of persons with LTBI, VT ,"609,762","5,361 (5,214 to 5,521)",100%,0.9 (0.9 to 0.9)
With solid organ transplant (SOT), VT ,NA,0,0%,
With HIV coinfection but not SOT, VT ,NA,250 (244 to 256),5%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, VT ,NA,35 (34 to 36),1%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", VT ,NA,170 (165 to 175),3%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), VT ,NA,139 (136 to 143),3%,
None of the below medical risk factors reported, VT ,NA,"3,031 (2,953 to 3,113)",57%,
1–14 years, VT ,"90,091",0,0%,0.0 (0.0 to 0.0)
15–24 years, VT ,"70,981",256 (247 to 267),5%,0.4 (0.3 to 0.4)
25–44 years, VT ,"160,088","2,958 (2,883 to 3,038)",55%,1.8 (1.8 to 1.9)
45–64 years, VT ,"187,077","1,791 (1,738 to 1,846)",33%,1.0 (0.9 to 1.0)
65+ years, VT ,"101,525",356 (346 to 371),7%,0.4 (0.3 to 0.4)
Non-Hispanic white, VT ,"574,200",585 (570 to 602),11%,0.1 (0.1 to 0.1)
Non-Hispanic black, VT ,"6,714",557 (543 to 572),10%,8.3 (8.1 to 8.5)
Hispanic, VT ,"7,904",374 (365 to 383),7%,4.7 (4.6 to 4.8)
Asian or other race/ethnicity, VT ,"20,944","2,109 (2,054 to 2,166)",39%,10.1 (9.8 to 10.3)
Total estimated number of persons with LTBI, WA ,"6,996,775","191,411 (185,783 to 197,491)",100%,2.7 (2.7 to 2.8)
With solid organ transplant (SOT), WA ,NA,16 (16 to 17),0%,
With HIV coinfection but not SOT, WA ,NA,369 (358 to 380),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, WA ,NA,562 (544 to 582),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", WA ,NA,"2,177 (2,114 to 2,245)",1%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), WA ,NA,"18,461 (17,928 to 19,032)",10%,
None of the below medical risk factors reported, WA ,NA,"169,825 (164,823 to 175,235)",89%,
1–14 years, WA ,"1,250,083","2,742 (2,526 to 2,986)",1%,0.2 (0.2 to 0.2)
15–24 years, WA ,"949,666","15,017 (14,334 to 15,777)",8%,1.6 (1.5 to 1.7)
25–44 years, WA ,"1,875,365","79,408 (77,347 to 81,586)",41%,4.2 (4.1 to 4.4)
45–64 years, WA ,"1,907,037","70,934 (68,998 to 72,982)",37%,3.7 (3.6 to 3.8)
65+ years, WA ,"1,014,624","23,309 (22,578 to 24,159)",12%,2.3 (2.2 to 2.4)
Non-Hispanic white, WA ,"4,875,131","55,023 (53,304 to 56,940)",29%,1.1 (1.1 to 1.2)
Non-Hispanic black, WA ,"268,916","20,036 (19,432 to 20,699)",10%,7.5 (7.2 to 7.7)
Hispanic, WA ,"931,060","33,348 (32,413 to 34,329)",17%,3.6 (3.5 to 3.7)
Asian or other race/ethnicity, WA ,"921,670","83,004 (80,634 to 85,524)",43%,9.0 (8.7 to 9.3)
Total estimated number of persons with LTBI, WI ,"5,662,759","51,671 (50,141 to 53,369)",100%,0.9 (0.9 to 0.9)
With solid organ transplant (SOT), WI ,NA,8 (8 to 8),0%,
With HIV coinfection but not SOT, WI ,NA,120 (116 to 124),0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, WI ,NA,193 (187 to 199),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", WI ,NA,826 (803 to 852),2%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), WI ,NA,"3,382 (3,282 to 3,494)",7%,
None of the below medical risk factors reported, WI ,NA,"47,142 (45,745 to 48,691)",91%,
1–14 years, WI ,"979,477",569 (527 to 620),1%,0.1 (0.1 to 0.1)
15–24 years, WI ,"818,608","2,849 (2,711 to 3,004)",6%,0.3 (0.3 to 0.4)
25–44 years, WI ,"1,376,507","17,767 (17,292 to 18,270)",34%,1.3 (1.3 to 1.3)
45–64 years, WI ,"1,605,815","22,260 (21,630 to 22,928)",43%,1.4 (1.3 to 1.4)
65+ years, WI ,"882,352","8,226 (7,981 to 8,547)",16%,0.9 (0.9 to 1.0)
Non-Hispanic white, WI ,"4,650,253","18,375 (17,804 to 19,035)",36%,0.4 (0.4 to 0.4)
Non-Hispanic black, WI ,"321,052","7,551 (7,311 to 7,830)",15%,2.4 (2.3 to 2.4)
Hispanic, WI ,"449,791","10,498 (10,205 to 10,806)",20%,2.3 (2.3 to 2.4)
Asian or other race/ethnicity, WI ,"241,662","15,248 (14,821 to 15,698)",30%,6.3 (6.1 to 6.5)
Total estimated number of persons with LTBI, WV ,"1,803,618","15,997 (15,512 to 16,577)",100%,0.9 (0.9 to 0.9)
With solid organ transplant (SOT), WV ,NA,12 (12 to 13),0%,
With HIV coinfection but not SOT, WV ,NA,0,0%,
With end-stage renal disease (ESRD) but not SOT or HIV coinfection, WV ,NA,70 (68 to 72),0%,
"With immunosuppressive therapy (e.g., TNF-alpha blocker users) but not SOT or HIV coinfection or ESRD", WV ,NA,562 (546 to 583),4%,
With diabetes but not SOT or HIV coinfection or ESRD or immunosuppressive (TNF-alpha blocker users), WV ,NA,"2,007 (1,944 to 2,084)",13%,
None of the below medical risk factors reported, WV ,NA,"13,345 (12,943 to 13,826)",83%,
1–14 years, WV ,"290,732",323 (294 to 351),2%,0.1 (0.1 to 0.1)
15–24 years, WV ,"232,095",462 (444 to 480),3%,0.2 (0.2 to 0.2)
25–44 years, WV ,"447,200","2,500 (2,427 to 2,577)",16%,0.6 (0.5 to 0.6)
45–64 years, WV ,"512,718","7,789 (7,558 to 8,034)",49%,1.5 (1.5 to 1.6)
65+ years, WV ,"320,873","4,924 (4,788 to 5,134)",31%,1.5 (1.5 to 1.6)
Non-Hispanic white, WV ,"1,665,742","11,636 (11,279 to 12,075)",73%,0.7 (0.7 to 0.7)
Non-Hispanic black, WV ,"59,350","1,576 (1,531 to 1,631)",10%,2.7 (2.6 to 2.7)
Hispanic, WV ,"21,170",402 (387 to 417),3%,1.9 (1.8 to 2.0)
Asian or other race/ethnicity, WV ,"57,356","2,383 (2,316 to 2,453)",15%,4.2 (4.0 to 4.3)